,id,station_id,terminal,station_name,latitude,longitude,existing,num_events
76,77,80,M32005,MIT Stata Center at Vassar St / Main St,42.362429,-71.090188,False,0
77,78,81,D32019,Boylston St / Washington St,42.352409,-71.062679,False,0
78,79,82,K32002,Brookline Town Hall / Library Washington St,42.333689,-71.120526,False,0
79,80,83,C32011,South Bay Plaza,42.325941,-71.065928,False,0
80,81,84,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,False,0
81,82,85,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,42.330825,-71.057007,False,0
82,83,86,K32003,Brookline Village - Station Street @ MBTA,42.332799,-71.116205,False,0
83,84,87,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,False,0
84,85,88,M32010,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,False,0
85,86,89,M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,False,0
86,87,90,M32001,Lechmere Station at Cambridge St / First St,42.3707,-71.07711,False,0
87,88,91,M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,False,0
88,89,92,C32014,University of Massachusetts Boston,42.311819,-71.035705,False,0
89,90,93,C32013,JFK / UMASS Station,42.320494,-71.051122,False,0
90,91,94,D32020,Charlestown - Main St at Austin St,42.375603,-71.064608,False,0
91,92,95,M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,False,0
92,93,96,M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,False,0
93,94,97,M32015,Harvard  University River Houses at DeWolfe St / Cowperthwaite St,42.369182,-71.117152,False,0
94,95,98,D32021,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,False,0
95,96,99,B32008,Mayor Thomas M. Menino - Government Center,42.35892,-71.057629,False,0
96,97,100,B32017,Dudley Square,42.328654,-71.084198,False,0
97,98,101,B32020,BIDMC - Brookline at Burlington St,42.345733,-71.100694,False,0
98,99,102,C32002,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089,False,0
99,100,103,C32008,Boylston at Fairfield,42.348762,-71.082383,False,0
100,101,104,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,42.330716,-71.057044,False,0
101,102,105,C32015,Mt Pleasant Ave / Dudley Town Common,42.325333,-71.075354,False,0
102,103,106,C32016,West Broadway at Dorchester St,42.335693,-71.045859,False,0
103,104,107,C32017,South Boston Library - 646 East Broadway,42.335741,-71.03877,False,0
104,105,108,C32018,E. Cottage St at Columbia Rd,42.320561,-71.06198,False,0
105,106,109,C32019,Upham's Corner - Ramsey St at Dudley St,42.317225,-71.065421,False,0
106,107,110,D32001,New Balance - Guest St. at Life St.,42.356975,-71.145442,False,0
107,108,111,D32003,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,False,0
108,109,112,D32004,Franklin St. / Arch St.,42.355402,-71.058087,False,0
109,110,113,D32016,Charles Circle - Charles St. at Cambridge St.,42.36069,-71.070884,False,0
110,111,114,D32022,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,False,0
111,112,115,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,False,0
112,113,116,D32024,Charles St at Beacon St,42.356052,-71.069849,False,0
113,114,117,D32025,Milk St at India St,42.358508,-71.052984,False,0
114,115,118,D32026,Hayes Square at Vine St.,42.377022,-71.056605,False,0
115,116,119,D32027,New Balance Store - Boylston at Dartmouth,42.350413,-71.07655,False,0
116,117,120,E32001,JP Monument - South St at Centre St,42.309467,-71.115645,False,0
117,118,121,E32002,JP Centre - Centre Street at Myrtle Street,42.31309,-71.114175,False,0
118,119,122,E32003,Hyde Square at Barbara St,42.320998,-71.110833,False,0
119,120,123,E32004,Egleston Square at Columbus Ave,42.315692,-71.098634,False,0
120,121,124,E32005,Green St T,42.310579,-71.107341,False,0
121,122,125,E32006,Jackson Square T at Centre St,42.322913,-71.100164,False,0
122,123,126,K32002,Washington Square at Washington St. / Beacon St.,42.339335,-71.13493,False,0
123,124,127,K32004,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,False,0
124,125,128,M32004,Kendall T at Main St,42.362457,-71.08497,False,0
125,126,129,M32015,Harvard University River Houses / Plympton St at Memorial Drive,42.369832,-71.118201,False,0
126,127,130,M32021,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,False,0
127,128,131,M32022,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,False,0
128,129,132,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,False,0
129,130,133,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,False,0
130,131,134,M32025,Mass Ave / Linear Park,42.397828,-71.130516,False,0
131,132,135,M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,False,0
132,133,136,M32027,Biogen Idec - Binney St / Sixth St,42.366095,-71.086388,False,0
133,134,137,M32029,Porter Square Station,42.387995,-71.119084,False,0
134,135,138,S32005,Wilson Square,42.385582,-71.113341,False,0
135,136,139,S32006,Davis Square,42.396969,-71.123024,False,0
136,137,140,S32007,Ball Square,42.400146,-71.112708,False,0
137,138,141,S32008,Powder House Circle,42.400877,-71.116772,False,0
138,139,142,S32009,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,False,0
139,140,143,S32010,Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,False,0
140,141,144,S32011,Teele Square at 239 Holland St,42.402763,-71.126908,False,0
141,142,145,S32012,Summer St at Cutter St,42.394002,-71.120406,False,0
